code,description
RTO*,OTC USE FOR WOMEN AGES 15 AND 16
M-205,"INFORMATION ADDED TO THE LABELING REGARDING RANDOMIZED, MULTICENTER, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDIES ON PATIENTS WITH SEVERE RENAL IMPAIRMENT"
I-16,STIMULATE THE DEVELOPMENT OF MULTIPLE FOLLICLES/OOCYTES IN OVULATORY PATIENTS PARTICIPATING IN AN IN VITRO  FERTILIZATION PROGRAM
ODE-136,"TREATMENT OF PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER OR WEIGHING AT LEAST 35 KG WITH CHRONIC HEPATITIS C VIRUS GENOTYPE 1, 4, 5, OR 6 INFECTION WITHOUT CIRRHOSIS OR WITH COMPENSATED CIRRHOSIS"
I-508,PREMENSTRUAL DYSPHONIC DISORDER
ODE-198,INDICATED FOR THE TREATMENT OF SEIZURES ASSOCIATED WITH DRAVET SYNDROME (DS) IN PATIENTS 2 YEARS OF AGE AND OLDER TAKING CLOBAZAM
ODE-357,FOR THE TREATMENT OF CYSTIC FIBROSIS (CF) IN PATIENTS AGED 6 THROUGH 11 YEARS OLD WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (CFTR) GENE OR A MUTATION IN THE CFTR GENE THAT IS RESPONSIVE BASED ON IN VITRO DATA
M-280,"REVISIONS TO THE PEDIATRIC USE SUBSECTION OF LABELING TO INCLUDE THE RESULTS FROM CLINICAL STUDIES E7389-G000-223 AND E7389-G000-213, CONDUCTED TO FULFILL A PEDIATRIC WRITTEN REQUEST"
I-153,MANAGEMENT OF SEVERE SPASTICITY [ENCOMPASSES SPINAL AND CEREBRAL ORIGIN]
I-50,FOR USE IN WOMEN WITH AXILLARY NODE-NEGATIVE BREAST CANCER
M-136,ADDITIONAL INFORMATION ADDED TO THE USE IN SPECIFIC POPULATIONS SECTION OF THE LABELING REGARDING POST-OPERATIVE NAUSEA AND VOMITING STUDIES IN PEDIATRIC PATIENTS
ODE-295,INDICATED FOR THE MAINTENANCE TREATMENT OF ADULT PATIENTS WITH ADVANCED EPITHELIAL OVARIAN CANCER WHO ARE IN A COMPLETE OR PARTIAL RESPONSE TO FIRST-LINE PLATINUM-BASED CHEMOTHERAPY
I-619,INTRAVENOUS CONTRAST ENHANCED COMPUTER TOMOGRAPHY OF THE HEAD AND BODY
I-518,TREATMENT OF SHORT STATURE OR GROWTH FAILURE IN CHILDREN WITH SHOX (SHORT STATURE HOMEOBOX CONTAINING GENE) DEFICIENCY WHOSE EPIPHYSES ARE NOT CLOSED
I-398,IDIOPATHIC SHORT STATURE
I-639,"TREATMENT OF PROGRESSIVE, WELL-DIFFERENTIATED PANCREATIC NEUROENDOCRINE TUMORS IN PATIENTS WITH UNRESECTABLE, LOCALLY ADVANCED, OR METASTATIC DISEASE"
I-563,ADJUNCTIVE THERAPY IN THE TREATMENT OF PRIMARY GENERALIZED TONIC-CLONIC SIEZURES IN ADULTS AND CHILDREN 16 YEARS OF AGE AND OLDER WITH IDIOPATHIC GENERALIZED EPILEPSY
I-686,INDICATED FOR THE TREATMENT OF DIABETIC MACULAR EDEMA IN PATIENTS WHO ARE PSEUDOPHAKIC OR ARE PHAKIC AND SCHEDULED FOR CATARACT SURGERY
D-35,FOR A ONE WEEK DOSING OF INTERDIGITAL TINEA PEDIS
I-351,PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS FOR ALL STRENGTHS
I-823,"USE IN COMBINATION WITH CAPECITABINE, FOR THE TREATMENT OF ADULT PATIENTS WITH ADVANCED OR METASTATIC HER2-POSITIVE BREAST CANCER WHO HAVE RECEIVED TWO OR MORE PRIOR ANTI-HER2 BASED REGIMENS IN THE METASTATIC SETTING"
M-187,ADDITION OF CLINICAL INFORMATION OBTAINED FROM A PEDIATRIC TRIAL TO SECTION 8.4 OF THE LABELING
ODE-260,INDICATED TO INCREASE SYSTEMIC EXPOSURE OF ATAZANAVIR IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS IN THE TREATMENT OF HIV-1 INFECTION IN PEDIATRIC PATIENTS WEIGHING AT LEAST 35 KG
I-366,PREVENTION OF RELAPSE FOLLOWING LONG-TERM TREATMENT OF MAJOR DEPRESSIVE DISORDER
I-863,"TREATMENT OF ADULT PATIENTS WITH ADVANCED SYSTEMIC MASTOCYTOSIS (ADVSM), INCLUDING PATIENTS WITH AGGRESSIVE SYSTEMIC MASTOCYTOSIS (ASM) AND SYSTEMIC MASTOCYTOSIS WITH AN ASSOCIATED HEMATOLOGICAL NEOPLASM (SM-AHN)"
D-62,ONCE WEEKLY DOSING FOR THE PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS
ODE-124,"REPLACEMENT THERAPY FOR ORAL CARBAMAZEPINE FORMULATIONS, WHEN ORAL ADMINISTRATION IS TEMPORARILY NOT FEASIBLE, IN ADULTS WITH THE FOLLOWING SEIZURE TYPES: PARTIAL WITH COMPLEX SYMPTOMOLOGY, GENERALIZED CLONIC-TONIC, AND MIXED"
M-45,"INFORMATION ADDED TO CLINICAL TRIALS SECTION OF LABELING, EFFECTS OF HUMATROPE TREATMENT IN ADULTS WITH GROWTH HORMONE DEFICIENCY"
D-165,DOSING RECOMMENDATION ADDED TO THE LABELING FOR IMBRUVICA USE IN COMBINATION WITH BENDAMUSTINE AND RITUXIMAB FOR THE TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA (CLL)/SMALL LYMPHOCYTIC LEUKEMIA (SLL)
M-157,INFORMATION ADDED TO THE LABELING REGARDING THE SAFETY AND EFFICACY OF DAPAGLIFLOZIN 10MG ONCE DAILY IN PATIENTS WITH TYPE 2 DIABETES WHO HAVE INADEQUATE GLYCEMIC CONTROL ON A BACKGROUND COMBINATION OF METFORMIN AND SULFONYLUREA
I-555,TREATMENT OF ACUTE MANIC OR MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER IN PEDIATRIC PATIENTS AGED 10-17 YEARS
I-22,RESCUE AFTER HIGH-DOSE METHOTREXATE THERAPY IN OSTEOSARCOMA
M-31,INFORMATION FOR USE IN PEDIATRIC PATIENTS WITH CHRONIC KIDNEY DISEASE STAGE 5 (END-STAGE RENAL DISEASE)
ODE-309,"INDICATED FOR USE IN COMBINATION WITH TRASTUZUMAB AND CAPECITABINE FOR TREATMENT OF ADULT PATIENTS WITH METASTATIC HER2-POSITIVE BREAST CANCER AND BRAIN METASTASES, WHO HAVE RECEIVED ONE OR MORE PRIOR ANTI-HER2-BASED REGIMENS IN THE METASTIC SETTING"
NCE*,NEW CHEMICAL ENTITY (AN ENANTIOMER OF PREVIOUSLY APPROVED RACEMIC MIXTURE. SEE SECTION 505(U) OF THE FEDERAL FOOD AND DRUG COSMETIC ACT).
ODE-173,TREATMENT OF PATIENTS WITH CYSTIC FIBROSIS AGED 12 YEARS AND OLDER WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR WHO HAVE AT LEAST ONE MUTATION IN THE CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR GENE RESPONSIVE TO TEZACAFTOR/IVACAFTOR
I-753,TREATMENT OF ADULT PATIENTS WITH CHRONIC GRAFT VERSUS HOST DISEASE (CGVHD) AFTER FAILURE OF ONE OR MORE LINES OF SYSTEMIC THERAPY
I-565,USE OF DUTASTERIDE IN COMBINATION WITH TAMSULOSIN FOR THE TREATMENT OF SYMPTOMATIC BENIGN PROSTATIC HYPERPLASIA (BPH)
I-457,TREATMENT OF PATIENTS UNDERGOING ABDOMINAL SURGERY WHO ARE AT RISK FOR THROMBOEMBOLIC COMPLICATIONS
I-435,CHRONIC IDIOPATHIC CONSTIPATION
I-917,TREATMENT OF HEAVY MENSTRUAL BLEEDING FOR UP TO 5 YEARS IN PATIENTS WHO CHOOSE INTRAUTERINE CONTRACEPTION AS THEIR METHOD OF CONTRACEPTION
I-86,TREATMENT OF SECONDARY CARNITINE DEFICIENCY
I-246,TREATMENT OF UNCOMPLICATED URINARY TRACT INFECTIONS
ODE-13,TREATMENT OF UNRESECTABLE OR METASTATIC MELANOMA WITH THE BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST
ODE-74,TREATMENT OF PATIENTS WITH SEVERE APLASTIC ANEMIA WHO HAVE HAD AN INSUFFICIENT RESPONSE TO IMMUNOSUPPRESSIVE THERAPY
I-6,TREATMENT OF JUVENILE ARTHRITIS
I-348,"LONG-TERM, TWICE-DAILY (MORNING AND EVENING) ADMINISTRATION IN THE MAINTENANCE TREATMENT OF BRONCHOSPASM ASSOCIATED WITH COPD (INCLUDING EMPHYSEMA AND CHRONIC BRONCHITIS)"
I-399,"TREATMENT OF CANDIDEMIA AND THE FOLLOWING CANDIDA INFECTIONS:  INTRA-ABDOMINAL ABSCESSES, PERITONITIS AND PLEURAL SPACE INFECTIONS"
I-159,"FOR HYPERCHOLESTEROLEMIC PATIENTS WITHOUT CLINICALLY EVIDENT HEART DISEASE REDUCE THE RISK OF MYOCARDIAL INFARCTION, REVASCULARIZATION, AND DEATH DUE TO CARDIOVASCULAR CAUSES WITH NO INCREASE IN DEATH FROM NON-CARDIOVASCULAR CAUSES"
NE,NEW ESTER OR SALT OF AN ACTIVE INGREDIENT
I-603,GOUT FLARES
I-471,INDICATED TO REDUCE THE RISK OF MYOCARDIAL INFARCTION AND STROKE IN PATIENTS WITH TYPE 2 DIABETES AND WITHOUT CLINICALLY EVIDENT CORONARY HEART DISEASE BUT WITH MULTIPLE RISK FACTORS FOR CORONARY HEART DISEASE
M-180,INFORMATION ADDED TO THE LABELING REGARDING THE ADDITION OF MAINTENANCE TREATMENT IN PATIENTS WITH SCHIZOPHRENIA
I-696,USE AS MONOTHERAPY IN THE TREATMENT OF PARTIAL-ONSET SEIZURES IN PATIENTS WITH EPILEPSY AGE 17 YEARS AND OLDER
ODE-405,TREATMENT OF PEDIATRIC PATIENTS AGE 1 YEAR AND OLDER WITH CHRONIC GRAFT-VERSUS-HOST DISEASE (CGVHD) AFTER FAILURE OF ONE OR MORE LINES OF SYSTEMIC THERAPY
I-578,EXPANSION OF INDICATION TO INCLUDE TREATMENT OF HIV IN TREATMENT NAIVE ADULTS
ODE-140,"TREATMENT OF ADULT PATIENTS WITH AGGRESSIVE SYSTEMIC MASTOCYTOSIS (ASM), SYSTEMIC MASTOCYTOSIS WITH ASSOCIATED HEMATOLOGICAL NEOPLASM (SM-AHN), OR MAST CELL LEUKEMIA (MCL)"
I-914,IN COMBINATION WITH ABIRATERONE AND PREDNISONE OR PREDNISOLONE FOR THETREATMENT OF ADULT PATIENTS WITH DELETERIOUS OR SUSPECTED DELETERIOUS BRCA-MUTATED (BRCAM) METASTATIC CASTRATION-RESISTANT PROSTATE CANCER (MCRPC)
M-18,INFORMATION DENOTING THE EFFICACY OF REMERON IN MAINTAINING A RESPONSE IN PATIENTS WITH MAJOR DEPRESSIVE DISORDER (MDD)
I-584,TREATMENT AND PREVENTION OF GLUCOCORTICOID-INDUCED OSTEOPOROSIS IN PATIENTS EXPECTED TO BE ON GLUCOCORTICOIDS FOR AT LEAST 12 MONTHS
M-213,INFORMATION ADDED TO THE LABELING TO INCLUDE THE EFFICACY AND SAFETY OF CARIPRAZINE RELATIVE TO PLACEBO IN THE PREVENTION OF RELAPSE OF SYMPTOMS IN PATIENTS WITH SCHIZOPHRENIA
ODE-356,"FOR THE TREATMENT OF ADULT PATIENTS WITH ADVANCED SYSTEMIC MASTOCYTOSIS (ADVSM). ADVSM INCLUDES PATIENTS WITH AGGRESSIVE SYSTEMIC MASTOCYTOSIS (ASM), SYSTEMIC MASTOCYTOSIS WITH AN ASSOCIATED HEMATOLOGICAL NEOPLASM (SM-AHN), AND MAST CELL LEUKEMIA (MCL)"
I-228,PREVENTION OF MEAL INDUCED HEARTBURN AT A DOSE OF 75MG TAKEN 30-60MIN PRIOR TO A MEAL
I-14,SEBORRHEIC DERMATITIS
I-112,MANAGEMENT OF MODERATE TO SEVERE PAIN
M-141,REVISIONS TO THE PEDIATRIC USE SECTION OF THE LABELING TO INCORPORATE STUDY RESULTS FOR TREATMENT OF MAJOR DEPRESSIVE DISORDER IN ADOLESCENTS (AGES 12-17)
I-204,USE IN PEDIATRIC PATIENTS BETWEEN THE AGES OF 6 AND 11 FOR THE TREATMENT OF THE NASAL SYMPTOMS OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS
D-114,NEW DOSING RECOMMENDATIONS FOR USE OF SIROLIMUS IN COMBINATION WITH CYCLOSPORINE FOR THE PROPHYLAXIS OF REJECTION IN HIGH-RISK RENAL TRANSPLANT RECIPIENTS
ODE-398,TREATMENT OF ADULTS WITH SYMPTOMATIC NEW YORK HEART ASSOCIATION (NYHA) CLASS II-III OBSTRUCTIVE HYPERTROPHIC CARDIOMYOPATHY (HCM) TO IMPROVE FUNCTIONAL CAPACITY AND SYMPTOMS
ODE-126,AS MONOTHERAPY FOR THE TREATMENT OF PATIENTS WITH DELETERIOUS BRCA MUTATION (GERMLINE AND/OR SOMATIC) ASSOCIATED ADVANCED OVARIAN CANCER WHO HAVE BEEN TREATED WITH TWO OR MORE CHEMOTHERAPIES
ODE-91,TREATMENT OF BILE ACID SYNTHESIS DISORDERS DUE TO SINGLE ENZYME DEFECTS
ODE-410,"TREATMENT OF ADULT PATIENTS WITH PREVIOUSLY TREATED, UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC INTRAHEPATIC CHOLANGIOCARCINOMA HARBORING FIBROBLAST GROWTH FACTOR RECEPTOR 2 (FGFR2) GENE FUSIONS OR OTHER REARRANGEMENTS"
I-724,"TREATMENT OF ADULT PATIENTS WITH PROGRESSIVE, WELL DIFFERENTIATED, NON-FUNCTIONAL NEUROENDOCRINE TUMORS (NET) OF GI OR LUNG ORIGIN WITH UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC DISEASE"
I-738,REVISIONS TO THE INDICATIONS AND USAGE SECTION WITH RESPECT TO COMPLICATED INTRA-ABDOMINAL INFECTIONS
I-744,TREATMENT OF PATIENTS WITH HEPATOCELLULAR CARCINOMA (HCC) WHO HAVE BEEN PREVIOUSLY TREATED WITH SORAFENIB
M-121,LABELING CHANGES BASED UPON SAFETY AND EFFICACY RESULTS FROM TRIAL 1218.43
ODE-384,"TO REDUCE THE RISK OF OTOTOXICITY ASSOCIATED WITH CISPLATIN IN PEDIATRIC PATIENTS 1 MONTH OFAGE AND OLDER WITH LOCALIZED, NON-METASTATIC SOLID TUMORS"
ODE-316,"TREATMENT OF ADULT PATIENTS WITH MYELODYSPLASTIC SYNDROMES (MDS), INCLUDING PREVIOUSLY TREATED AND UNTREATED, DE NOVO AND SECONDARY MDS WITH THE FOLLOWING FRENCH-AMERICAN-BRITISH SUBTYPES (REFRACTORY ANEMIA, REFRACTORY ANEMIA WITH RINGED SIDEROBLASTS, REFRACTORY ANEMIA WITH EXCESS BLASTS, AND CHRONIC MYELOMONOCYTIC LEUKEMIA [CMML]) AND INTERMEDIATE-1, INTERMEDIATE-2, AND HIGH-RISK INTERNATIONAL PROGNOSTIC SCORING SYSTEM GROUPS."
I-56,EROSIVE GASTROESOPHAGEAL REFLUX DISEASE
I-641,TREATMENT OF THE SIGNS AND SYMPTOMS OF BENIGN PROSTATIC HYPERPLASIA (BPH)
ODE-422,"TREATMENT OF ADULT PATIENTS WITH RAS WILD-TYPE, HER2-POSITIVE UNRESECTABLE OR METASTATIC COLORECTAL CANCER THAT HAS PROGRESSED FOLLOWING TREATMENT WITH FLUOROPYRIMIDINE-, OXALIPLATIN-, AND IRINOTECAN-BASED CHEMOTHERAPY"
ODE-352,"TREATMENT OF ADULT PATIENTS WITH KRAS G12C-MUTATED LOCALLY ADVANCED OR METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC), AS DETERMINED BY AN FDA-APPROVED TEST, WHO HAVE RECEIVED AT LEAST ONE PRIOR SYSTEMIC THERAPY"
ODE-409,TREATMENT OF ADULT PATIENTS WITH LOCALLY ADVANCED OR METASTATIC SOLID TUMORS WITH A RET GENE FUSION THAT HAVE PROGRESSED ON OR FOLLOWING PRIOR SYSTEMIC TREATMENT OR WHO HAVE NO SATISFACTORY ALTERNATIVE TREATMENT OPTIONS
D-148,EXTENDED THE DURATION OF THE DOSING REGIMEN FROM 100 DAYS TO 200 DAYS POST-TRANSPLANTATION FOR THE PREVENTION OF CMV DISEASE IN PEDIATRIC KIDNEY TRANSPLANT
M-278,INFORMATION ADDED TO SECTION 8.4 OF THE LABELING TO INCLUDE THE RESULT OF STUDY GO29665
I,NEW INDICATION (SEE INDIVIDUAL REFERENCES)
M-106,ADDITION OF THE T1-WEIGHTED GD-ENHANCED LESION EFFICACY VARIABLE IN THE CLINICAL STUDIES SECTION 14 OF THE PACKAGE INSERT
I-209,PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA (PSVT)
I-746,NEW INDICATION OF MAINTENANCE MONOTHERAPY TREATMENT OF BIPOLAR I DISORDER IN ADULTS
ODE-341,TREATMENT OF ADULT AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER WITH ADVANCED OR METASTATIC RET FUSION-POSITIVE THYROID CANCER WHO REQUIRE SYSTEMIC THERAPY AND WHO ARE RADIOACTIVE IODINE-REFRACTORY (IF RADIOACTIVE IODINE IS APPROPRIATE)
ODE-213,INDICATED FOR THE FIRST-LINE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH EPIDERMAL GROWTH FACTOR (EGFR) EXON 19 DELETION OR EXON 21 L858R SUBSTITUTION MUTATIONS AS DETECTED BY AN FDA-APPROVED TEST
I-157,TREATMENT OF ACUTE UNCOMPLICATED CYSTITIS IN FEMALES
ODE-4,TREATMENT OF PATIENTS WITH SUBEPENDYMAL GIANT CELL ASTROCYTOMA (SEGA) ASSOCIATED WITH TUBEROUS SCLEROSIS WHO REQUIRE THERAPEUTIC INTERVENTION BUT ARE NOT CANDIDATES FOR CURATIVE SURGICAL RESECTION
D-158,REVISED DOSING TO EXPAND PATIENT POPULATION TO INCLUDE LIVER TRANSPLANT RECIPIENTS WITH GENOTYPE 1 HCV INFECTION
M-123,UPDATED RESULTS OF OVERALL SURVIVAL FROM CONFIRM STUDY
M-241,"INFORMATION ADDED TO THE LABELING FOR SAFETY & EFFICACY STUDY ENTITLED, A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED CLINICAL TRIAL OF DEFERASIROX IN PATIENTS WITH MYELODYSPLASTIC SYNDROMES (LOW/INT-1 RISK) & TRANSFUSIONAL IRON OVERLOAD"
I-736,REVISED INDICATION TO INCLUDE THE TREATMENT OF PATIENTS WITH SMALL LYMPHOCYTIC LEUKEMIA (SLL)
I-820,INDICATED FOR THE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) (WHO GROUP 1) TO DELAY DISEASE PROGRESSION
ODE-234,"INDICATED FOR THE TREATMENT OF STABLE SYMPTOMATIC HEART FAILURE DUE TO DILATED CARDIOMYOPATHY (DCM) IN PEDIATRIC PATIENTS AGED 6 MONTHS AND OLDER, WHO ARE IN SINUS RHYTHM WITH AN ELEVATED HEART RATE"
I-2,CHOLANGIOPANCREATOGRAPHY
I-359,TREATMENT OF VULVAR AND VAGINAL ATROPHY ASSOCIATED WITH MENOPAUSE
ODE-292,"INDICATED FOR THE TREATMENT OF ADULTS WITH PREVIOUSLY TREATED, UNRESECTABLE LOCALLY ADVANCED OR METASTATIC CHOLANGIOCARCINOMA WITH A FIBROBLAST GROWTH FACTOR RECEPTOR 2 (FGFR2) FUSION OR OTHER REARRANGEMENT AS DETECTED BY AN FDA-APPROVED TEST"
M-74,REVISIONS TO CLINICAL STUDIES - CHILDREN AND ADOLESCENTS BASED ON CLINICAL TRIAL DATA TO SUPPORT A DURATION OF ACTION CLAIM UP TO 12 HOURS
ODE-169,FOR THE ADJUNCTIVE TREATMENT OF ADULT AND PEDIATRIC PATIENTS AGED 2 YEARS AND OLDER WITH TUBEROUS SCLEROSIS COMPLEX (TSC)-ASSOCIATED PARTIAL-ONSET SEIZURES
M-293,REVISIONS TO THE LABELING TO INCLUDE RESULTS FROM CLINICAL STUDY E2006-A001-113
I-469,RELIEF OF THE SIGNS AND SYMPTOMS OF PAUCIARTICULAR OR POLYARTICULAR COURSE JUVENILE RHEUMATOID ARTHRITIS IN PATIENTS 2 YEARS OF AGE AND OLDER
M-250,REVISIONS TO THE PEDIATRIC USE SECTION TO INCLUDE AN OPEN-LABEL CLINICAL TRIAL TO FULFILL PMR 1655-1
I-311,ADJUNCTIVE THERAPY IN THE TREATMENT OF PARTIAL SEIZURES IN PEDIATRIC PATIENTS AGE 3 TO 12 YEARS
I-121,EXPANDED PATIENT POPULATION -- USE IN ICU PATIENTS
I-701,"FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE, WELL-OR MODERATELY-DIFFERENTIATED, LOCALLY ADVANCED OR METASTATIC GASTROENTEROPANCREATIC NEUROENDOCRINE TUMORS (GEP-NETS) TO IMPROVE PROGRESSION FREE SURVIVAL"
ODE-7,TO REDUCE THE RISK OF PRETERM BIRTH IN WOMEN WITH SINGLETON PREGNANCY WHO HAVE A HISTORY OF SINGLETON SPONTANEOUS PRETERM BIRTH
ODE-122,TREATMENT OF DUCHENNE MUSCULAR DYSTROPHY (DMD) IN PATIENTS WHO HAVE A CONFIRMED MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING
ODE-363,TREATMENT OF PRURITUS IN PATIENTS 3 MONTHS OF AGE AND OLDER WITH PROGRESSIVE FAMILIAL INTRAHEPATIC CHOLESTASIS (PFIC)
D-182,NEW DOSING REGIMEN FOR THE PREVENTION AND MANAGEMENT OF NERATINIB‐ASSOCIATED DIARRHEA
I-648,TREATMENT OF HEAVY MENSTRUAL BLEEDING IN WOMEN WITHOUT ORGANIC PATHOLOGY WHO CHOOSE TO USE AN ORAL CONTRACEPTIVE AS THEIR METHOD OF CONTRACEPTION
I-700,TREATMENT OF PEDIATRIC PATIENTS WITH TOURETTES DISORDER (6-18 YEARS)
I-458,USE OF BIVALIRUDIN FOR INJECTION WITH PROVISIONAL USE OF GLYCOPROTEIN IIB/IIIA INHIBITOR (GPI) AS LISTED IN THE CLINICAL TRIALS REPLACE-2 SECTION FOR USE AS AN ANTICOAGULANT IN PATIENTS UNDERGOING PERCUTANEOUS CORONARY INTERVENTION (PCI)
M-19,INFORMATION REGARDING USE IN PEDIATRIC PATIENTS TWO YEARS OF AGE AND OLDER
I-274,USE OF TOPAMAX AS ADJUNCTIVE THERAPY IN THE TREATMENT OF PRIMARY GENERALIZED TONIC-CLONIC SEIZURES
I-787,FIRST-LINE TREATMENT OF PATIENTS WITH UNRESECTABLE HEPATOCELLULAR CARCINOMA (HCC)
M-124,LONG TERM SAFETY AND EFFICACY DATA FROM STUDY CLDT600A2303 FOR SUBJECTS PREVIOUSLY ENROLLED IN THE ORIGINAL TWO YEAR GLOBE (NV-02B-007/CLDT600A2302) AND NV02B-015 STUDIES WHO CONTINUED TELBIVUDINE TREATMENT FOR UP TO 208 WEEKS
I-11,RELIEF OF MILD TO MODERATE PAIN
ODE-55,TREATMENT OF PATIENTS WITH MANTLE CELL LYMPHOMA (MCL) WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY
I-48,PEDIATRIC ANGIOCARDIOGRAPHY
I-338,MANAGEMENT OF ACUTE PAIN IN ADULTS AND TREATMENT OF PRIMARY DYSMENORRHEA
D-124,ONCE DAILY DOSING REGIMEN IN ADULT PATIENTS WITH LESS THAN THREE LOPINAVIR RESISTANCE-ASSOCIATED SUBSTITUTIONS
I-389,SUPPRESSION OF RECURRENT GENITAL HERPES IN HIV-INFECTED INDIVIDUALS
I-715,FOR THE ADDITION OF THE INDICATION FOR MONOTHERAPY TREATMENT IN PARTIAL-ONSET SEIZURES IN ADULTS.
I-812,"FOR USE IN AT RISK ADULTS AND ADOLESCENTS WEIGHING AT LEAST 35 KG FOR PRE-EXPOSURE PROPHYLAXIS TO REDUCE THE RISK OF HIV-1 INFECTION FROM SEXUAL ACQUISITION, EXCLUDING INDIVIDUALS AT RISK FROM RECEPTIVE VAGINAL SEX"
ODE-48,TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS AS DETECTED BY AN FDA APPROVED TEST
I-792,TREATMENT OF PATIENTS WITH HEPATOCELLULAR CARCINOMA WHO HAVE BEEN PREVIOUSLY TREATED WITH SORAFENIB
ODE-265,INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS ARE ROS1-POSITIVE
M-275,"REVISION TO THE LABELING TO INCLUDE RESULTS FROM CLINICAL STUDY, MK-8835-004/B1521021, VERTIS CV"
ODE-99,"FOR USE IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN, FOR THE TREATMENT OF PATIENTS WITH METASTATIC ADENOCARCINOMA OF THE PANCREAS THAT HAS PROGRESSED FOLLOWING GEMCITABINE-BASED THERAPY"
I-442,"USED FOR CANDIDEMIA IN NONNEUTROPENIC PATIENTS AND THE FOLLOWING CANDIDA INFECTIONS: DISSEMINATED INFECTIONS IN SKIN & INFECTIONS IN ABDOMEN, KIDNEY, BLADDER WALL, AND WOUNDS"
ODE-237,TREATMENT OF THE CARDIOMYOPATHY OF WILD TYPE OR HEREDITARY TRANSTHYRETIN-MEDIATED AMYLOIDOSIS (ATTR-CM) IN ADULTS TO REDUCE CARDIOVASCULAR MORTALITY AND CARDIOVASCULAR-RELATED HOSPITALIZATION
I-902,TREATMENT OF ADULT PATIENTS WITH HISTIOCYTIC NEOPLASMS
D-6,SEVEN DAYS/NINE DAYS/FIVE DAYS DOSING SCHEDULE
I-62,PREVENTION AND TREATMENT OF POSTMENOPAUSAL OSTEOPOROSIS
I-291,PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS
D-101,ONCE DAILY IN CHRONIC IDIOPATHIC URTICARIA FOR ADULTS AND CHILDREN 12 YEARS OF AGE AND OLDER
I-806,"EXPANDED INDICATION FOR PTS WHO ARE VIROLOGICALLY SUPPRESSED (HIV-1 RNA LESS THAN 50 COPIES/ML) ON A STABLE ARV REGIMEN WITH NO HX OF TX FAILURE AND NO KNOWN SUBSTITUTIONS ASSOCIATED W RESISTANCE TO DORAVIRINE, LAMIVUDINE OR TENOFOVIR DISOPROXIL FUMARATE"
I-845,TREATMENT OF ADULT PATIENTS WITH ANAPLASTIC LYMPHOMA KINASE (ALK)-POSITIVE METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) AS DETECTED BY AN FDA-APPROVED TEST
I-666,TREATMENT OF PEDIATRIC PATIENTS WITH NEWLY DIAGNOSED PHILADELPHIA CHROMOSOME-POSITIVE ACUTE LYMPHOBLASTIC LEUKEMIA (PH+ALL) IN COMBINATION WITH CHEMOTHERAPY
ODE-52,"TREATMENT OF METASTATIC ADENOCARCINOMA OF THE PANCREAS AS FIRST-LINE TREATMENT, IN COMBINATION WITH GEMCITABINE."
ODE-297,FOR THE TREATMENT OF KAPOSI SARCOMA (KS) IN ADULT PATIENTS WHO ARE HIV-NEGATIVE
M-194,INFORMATION ADDED TO THE LABELING REGARDING USE OF REGADENOSON ADMINISTRATION FOLLOWING AN INADEQUATE EXERCISE STRESS TEST AS COMPARED TO REGADENOSON ALONE
