prodid,appl_type,appl_no,trade_name,applicant,active_ingredients_count
830,N,140-909,Sulka-S Bolus,Zoetis Inc.,1
1011,N,141-268,Protazil,Intervet Inc.,1
73,N,011-789,Predef 2x Sterile Aqueous Suspension,Zoetis Inc.,1
258,N,042-548,Amforol Suspension,Zoetis Inc.,3
1099,N,141-398,None (Med Gas),Air Liquide America L.P.,2
3,N,005-633,Protomone Thyroactive Casein,Agri-Tech Inc.,1
1486,A,200-522,Carprofen Sterile Injectable Solution,Dechra Veterinary Products LLC,1
1271,A,200-181,AmiMax E Solution,Elanco US Inc.,1
1607,A,200-687,Carprofen Chewable Tablets,Cronus Pharma Specialities India Private Limited,1
681,N,128-549,Bovilene,Zoetis Inc.,1
1134,N,141-445,Revalor-XR,Intervet Inc.,2
368,N,055-070,Dariclox,Intervet Inc.,1
694,N,130-951,Stenorol,Huvepharma EOOD,1
1352,A,200-313,LevaMed,Bimeda Animal Health Limited,1
1562,A,200-635,Clomipramine Hydrochloride Tablets,Mizner Bioscience LLC,1
480,N,093-105,Robizone-V,Zoetis Inc.,1
558,N,101-666,TM plus Robenz,Phibro Animal Health Corp.,2
1105,N,141-407,None (Med Gas),Praxair Canada Inc.,2
1416,A,200-395,Gentamicin Sulfate Solution,Sparhawk Laboratories Inc.,1
586,N,107-347,Cheque Medicated Dog Food,Zoetis Inc.,1
118,N,014-170,"Fluothane, Halothane, USP",Zoetis Inc.,1
1079,N,141-371,None (Med Gas),Messer Merchant Production LLC,2
683,N,128-686,Bio-Cox Type A Medicated Article,Huvepharma EOOD,1
6,N,006-281,Intragel,Zoetis Inc.,2
1519,A,200-564,Ivermectin Paste 1.87%,Boehringer lngelheim Animal Health USA Inc.,1
467,N,092-237,Ripercol L-Piperazine Soluble,Zoetis Inc.,2
1260,A,200-153,Neo 200 Oral Solution,Huvepharma EOOD,1
1101,N,141-401,None (Med Gas),Matheson Tri-Gas Inc.,2
872,N,141-035,Program Flavor Tabs,Elanco US Inc.,1
446,N,065-496,TetraSure 324,Phibro Animal Health Corp.,1
137,N,030-136,Naquasone Bolus,Intervet Inc.,2
12,N,006-691,Vermiplex,Intervet Inc.,2
1316,A,200-256,Iron Dextran Injection - 200,Huvepharma EOOD,1
333,N,049-032,Atgard C Premix 9.6%,Cronus Pharma Specialities India Private Limited,1
775,N,139-858,Tramisol-X-Tra Cattle Anthelmintic and Extoparasitic Paste,Intervet Inc.,2
605,N,111-349,SE S2 Shampoo,Intervet Inc.,1
569,N,103-037,Garacin Piglet Injection,Intervet Inc.,1
914,N,141-111,Rimadyl Chewable Tablets,Zoetis Inc.,1
1049,N,141-326,Rilexine Chewable Tablets,Virbac AH Inc.,1
859,N,141-003,Derm-Otic Ointment,Zoetis Inc.,4
1568,A,200-644,Optaflexxand Monovet and Tylovet,Huvepharma EOOD,3
55,N,011-241,Promazine HCl Injectable,Zoetis Inc.,1
1210,A,200-030,DI-METHOX,Huvepharma EOOD,1
234,N,039-583,Granulex V,Mylan Institutional Inc.,3
85,N,012-227,Fulvicin U/F Tablets,Intervet Inc.,1
642,N,119-688,Cefa-Tabs,HQ Specialty Pharma Corp.,1
416,N,065-174,Crysticillin,Zoetis Inc.,1
65,N,011-582,Vetamox Soluble Powder,Zoetis Inc.,1
1332,A,200-282,Continuex,Farnam Companies Inc.,1
1467,A,200-489,Flunazine-S,Bimeda Animal Health Limited,1
188,N,034-267,Gentocin Durafilm,Intervet Inc.,2
755,N,138-903,Porcilene Solution,Zoetis Inc.,1
958,N,141-203,Deramaxx Chewable Tablets,Elanco US Inc.,1
152,N,031-447,Fulvicin U/F Bolus Veterinary,Intervet Inc.,1
1257,A,200-144,"Tetroxy HCA-280, Tetroxy HCA-1772, Tetroxy HCA-1400",Bimeda Animal Health Limited,1
911,N,141-105,Program 6 Month Injectable for Cats,Elanco US Inc.,1
389,N,055-101,Clavamox Drops,Zoetis Inc.,2
138,N,030-137,"Mylepsin, Primidone Medi-Pets",Zoetis Inc.,1
731,N,135-940,Antirobe Aquadrops,Zoetis Inc.,1
173,N,033-373,Vetisulid,Huvepharma EOOD,1
1029,N,141-290,Topmax 9,Elanco US Inc.,1
531,N,099-008,Gentocin Ophthalmic Solution,Intervet Inc.,1
970,N,141-216,Quest Plus Gel,Zoetis Inc.,2
765,N,138-993,MoorMans Cattle Minerals BT,ADM Animal Nutrition,1
456,N,091-327,Gastrografin,Zoetis Inc.,2
735,N,136-651,Guailaxin,Zoetis Inc.,1
1620,A,200-704,Deracoxib Chewable Tablets,Felix Pharmaceuticals Pvt. Ltd.,1
1609,A,200-690,ZoaShield 25%,Elanco US Inc.,1
595,N,109-722,Anthelcide EQ Suspension,Zoetis Inc.,1
1254,A,200-139,Chanazine,Chanelle Pharmaceuticals Manufacturing Ltd.,1
1124,N,141-434,Simbadol,Zoetis Inc.,1
375,N,055-079,Ampi-Ject,Zoetis Inc.,1
1483,A,200-517,Zobuxa,Elanco US Inc.,1
896,N,141-079,Eprinex Pour-On for Beef and Dairy Cattle,Boehringer lngelheim Animal Health USA Inc.,1
709,N,132-486,Di-Trim 24%,Zoetis Inc.,2
1470,A,200-494,GentaMed,Bimeda Animal Health Limited,1
161,N,032-319,"Furox Aerosol Powder, Topazone Aerosol Powder",Kinetic Technologies LLC,1
1370,A,200-335,Ampicillin Sodium,HQ Specialty Pharma Corp.,1
51,N,011-080,Hydeltrone-TBA Suspension,Boehringer lngelheim Animal Health USA Inc.,1
1258,A,200-146,Tetroxy 25,Bimeda Animal Health Limited,1
1566,A,200-642,Monovet and Tylovet,Huvepharma EOOD,2
671,N,126-742,Levasole Injectable Solution,Intervet Inc.,1
33,N,009-476,Nicarb 25%,Phibro Animal Health Corp.,1
769,N,139-191,"Adams, D-Worm, Dog Wormer Chewable Tablets",Farnam Companies Inc.,1
239,N,040-181,Vetisulid Oral Suspension,Huvepharma EOOD,1
857,N,140-999,Domitor,Orion Corp.,1
355,N,055-032,Dicloxin Capsules,Zoetis Inc.,1
165,N,032-946,MAGNA-TERRAMYCIN Soluble Powder,Zoetis Inc.,2
487,N,093-600,Voren Suspension,Boehringer lngelheim Animal Health USA Inc.,1
1109,N,141-413,None (Med Gas),Airgas USA LLC,2
1634,A,200-721,Midamox for Cats,"Norbrook Laboratories, Ltd.",2
1006,N,141-263,Cerenia Injectable Solution,Zoetis Inc.,1
296,N,046-285,Albon,Zoetis Inc.,1
1128,N,141-439,Inteprity,Elanco US Inc.,1
475,N,092-710,Sergeants Worm Away For Cats,Sergeant?s Pet Care Products LLC,1
892,N,141-071,Imizol,Intervet Inc.,1
473,N,092-523,Garasol Solution,Intervet Inc.,1
1116,N,141-420,Tildren,Bimeda Animal Health Limited,1
1266,A,200-174,Gentamicin Sulfate Pig Pump Oral Solution,Huvepharma EOOD,1
1159,N,141-482,Robenz and LINCOMIX,Zoetis Inc.,2
2,N,005-236,Sulfodene Medication for Dogs,Farnam Companies Inc.,1
98,N,012-965,"Tylan 200 Injection, Tylan 50 Injection",Elanco US Inc.,1
814,N,140-862,Dormosedan,Orion Corp.,1
1171,N,141-501,Semintra,Boehringer lngelheim Animal Health USA Inc.,1
577,N,106-111,Telazol,Zoetis Inc.,2
1199,N,141-545,TANOVEA,Elanco US Inc.,1
90,N,012-469,Dizan Suspension With Piperazine,Cronus Pharma Specialities India Private Limited,2
819,N,140-874,Antagonil,Wildlife Laboratories Inc.,1
720,N,134-708,Uniferon 200,Pharmacosmos Inc.,1
450,N,091-065,Robizone-V,Zoetis Inc.,1
551,N,100-854,Fura Ointment,Farnam Companies Inc.,1
309,N,046-821,Gentocin Otic Solution,Intervet Inc.,2
983,N,141-232,Simplicef,Zoetis Inc.,1
971,N,141-217,Zeuterin,Ark Sciences Inc.,1
673,N,127-443,Eqvalan Injection,Boehringer lngelheim Animal Health USA Inc.,1
179,N,033-773,Sweetlix Bloat Guard Pressed Block,Ridley USA Inc.,1
434,N,065-463,Mychel-Vet Injection,Zoetis Inc.,1
583,N,107-189,Worm Capsules,Farnam Companies Inc.,2
1595,A,200-675,Optigrid and Monovet,Huvepharma EOOD,2
1164,N,141-488,Avatec and LINCOMIX,Zoetis Inc.,2
1299,A,200-233,Linco Soluble,Zoetis Inc.,1
1624,A,200-708,Enrofloxacin,Felix Pharmaceuticals Pvt. Ltd.,1
449,N,065-506,Combi-PEN-48,Bimeda Animal Health Limited,2
889,N,141-068,Baytril 100 Injectable Solution,Elanco US Inc.,1
568,N,102-990,Torbutrol Injection,Zoetis Inc.,1
620,N,114-794,Baciferm / Amprol HI-E Premix,Zoetis Inc.,3
1356,A,200-317,Dexium-SP,Bimeda Animal Health Limited,1
493,N,094-975,"Neo-Terramycin 100/100, Neo-Terramycin 100/100D, Neo-Terramycin 50/50, Neo-Terramycin 50/50D",Phibro Animal Health Corp.,2
386,N,055-098,Albadry Plus Suspension,Zoetis Inc.,2
741,N,137-409,Banamine Paste,Intervet Inc.,1
282,N,045-188,Lasix Packets,Intervet Inc.,1
1042,N,141-313,Equioxx Injection,Boehringer lngelheim Animal Health USA Inc.,1
745,N,137-694,Vetalog,Boehringer lngelheim Animal Health USA Inc.,1
1337,A,200-291,Clinsol,Virbac AH Inc.,1
484,N,093-514,Neo-Cortef Sterile Ointment,Zoetis Inc.,2
893,N,141-074,Trexonil,Wildlife Laboratories Inc.,1
1382,A,200-351,"Lincomycin Injectable, USP",Huvepharma EOOD,1
1290,A,200-219,"Ivermectin Pour-On for Cattle, Phoenectin, Phoenectin, Phoenectin Pour-On for Cattle",Huvepharma EOOD,1
283,N,045-290,"Ketaset, Vetalar",Boehringer lngelheim Animal Health USA Inc.,1
925,N,141-144,BMD / Safe-Guard,Zoetis Inc.,2
438,N,065-481,"Calf Scour Boluses, Chlortetracycline Pneumonia",Cronus Pharma Specialities India Private Limited,1
993,N,141-245,Tributame Euthanasia Solution,Cronus Pharma Specialities India Private Limited,3
779,N,139-913,Equron,Zoetis Inc.,1
549,N,100-703,Carbocaine-V Sterile Aqueous Solution,Zoetis Inc.,1
852,N,140-988,Ivomec Sustained-Release Bolus for Cattle,Boehringer lngelheim Animal Health USA Inc.,1
1119,N,141-425,None (Med Gas),Linde Gas North America LLC,2
1457,A,200-476,Flunixin Injection - S,"Norbrook Laboratories, Ltd.",1
781,N,140-270,Sulfamethazine Sustained Release Bolus,Huvepharma EOOD,1
1178,N,141-517,PROIN ER,Pegasus Laboratories Inc.,1
1129,N,141-440,CLARO,Elanco US Inc.,3
1502,A,200-542,Engain 9 and Engain 45,Zoetis Inc.,1
1310,A,200-246,Anthelban V,Elanco US Inc.,1
1371,A,200-338,Tri-Heart Plus Chewable Tablets,Heska Corp.,2
839,N,140-927,Chorulon,Intervet Inc.,1
674,N,127-627,"Nemacide, Nemacide-C",Cronus Pharma Specialities India Private Limited,1
1558,A,200-628,ENROFLOXACIN 100,Sparhawk Laboratories Inc.,1
687,N,130-136,Oxytocin Injection,Bimeda Animal Health Limited,1
1173,N,141-508,"Experior 10, Experior 50",Elanco US Inc.,1
1375,A,200-343,Heifermax 500,Elanco US Inc.,1
816,N,140-865,"Baciferm / Albac, Baciferm / Monteban",Zoetis Inc.,2
1195,N,141-540,Pennitracin MD and Coban,Pharmgate Inc.,2
1547,A,200-614,Pentobarbital Sodium and Phenytoin Sodium,Akorn Animal Health Inc.,2
752,N,138-869,Triamcinolone Acetonide Suspension,Cronus Pharma Specialities India Private Limited,1
122,N,015-102,Albon Tablets,Zoetis Inc.,1
1297,A,200-229,Tri-Otic Ointment,Med-Pharmex Inc.,3
699,N,131-675,Safe-Guard,Intervet Inc.,1
874,N,141-042,Immiticide Sterile Powder,Boehringer lngelheim Animal Health USA Inc.,1
987,N,141-236,Vetsulin,Intervet Inc.,1
897,N,141-080,Anipryl,Zoetis Inc.,1
991,N,141-241,Zimecterin-EZ,Farnam Companies Inc.,1
17,N,007-829,Happy Jack Tapeworm Tablets,Happy Jack Inc.,1
1537,A,200-591,Norfenicol,"Norbrook Laboratories, Ltd.",1
1617,A,200-701,PARASEDGE Multi for Cats,Chanelle Pharmaceuticals Manufacturing Ltd.,2
777,N,139-877,Totalon Topical Cattle Anthelmintic,Intervet Inc.,1
1001,N,141-257,Iverhart Max,Virbac AH Inc.,3
1462,A,200-482,AmproMed for Calves,Bimeda Animal Health Limited,1
922,N,141-137,Pennitracin MD 50G,Pharmgate Inc.,1
854,N,140-992,"Revalor-200, Revalor-H, Revalor-IH",Intervet Inc.,2
1127,N,141-438,Kavault,Elanco US Inc.,1
39,N,010-092,Gallimycin-100P,Bimeda Animal Health Limited,1
294,N,046-146,Vetalog Cream,Boehringer lngelheim Animal Health USA Inc.,1
32,N,009-392,Primidone,Zoetis Inc.,1
40,N,010-312,Meticortelone Acetate,Intervet Inc.,1
107,N,013-293,"Liqua-Cortril Spray, Terra-Cortril Spray",Zoetis Inc.,2
726,N,135-544,Winstrol-V Chewable Tablets,Zoetis Inc.,1
24,N,008-763,Terramycin Ophthalmic Ointment with Polymyxin,Zoetis Inc.,2
710,N,132-533,Styquin Parenteral 1.1%,Elanco US Inc.,1
70,N,011-678,Diuril Tablet,Boehringer lngelheim Animal Health USA Inc.,1
1464,A,200-484,"Tylovet 40, Tylovet 100",Huvepharma EOOD,1
426,N,065-313,Baciferm Soluble 50,Zoetis Inc.,1
1476,A,200-506,Animec Plus,Chanelle Pharmaceuticals Manufacturing Ltd.,1
1438,A,200-438,Petrem,Piramal Critical Care Inc.,1
104,N,013-181,Jenomycin Tablets,Intervet Inc.,2
556,N,101-479,"Banamine , Banamine-S",Intervet Inc.,1
1160,N,141-483,Deccox and LINCOMIX,Zoetis Inc.,2
1538,A,200-592,Clavacillin,Dechra Veterinary Products LLC,2
885,N,141-063,"Nuflor , Nuflor-S",Intervet Inc.,1
1212,A,200-033,Uniprim Powder,Neogen Corp.,2
1331,A,200-281,Pyrantel Pamoate Chewable Tablets,Virbac AH Inc.,1
1531,A,200-584,Engain plus Tylovet 100,Zoetis Inc.,2
75,N,011-879,"Rubrafer, Rubrafer S-100",Zoetis Inc.,1
508,N,096-672,"Phen-Buta-Vet Tablets, Phenylbutazone S/A",Bimeda Animal Health Limited,1
1478,A,200-509,Tilmovet 90,Huvepharma EOOD,1
219,N,038-233,"Ralgro Implants, Ralgro Magnum",Intervet Inc.,1
1444,A,200-450,Bimectin Plus,Bimeda Animal Health Limited,2
1174,N,141-509,Pexion,Boehringer lngelheim Animal Health USA Inc.,1
266,N,042-910,E-Z-EX Wormer Mintrate Block,ADM Animal Nutrition,1
1065,N,141-346,OroCAM Transmucosal Oral Spray,Zoetis Inc.,1
1014,N,141-273,Vetmedin,Boehringer lngelheim Animal Health USA Inc.,1
435,N,065-470,BMD Soluble,Zoetis Inc.,1
111,N,013-624,Triamcinolone Acetonide,Boehringer lngelheim Animal Health USA Inc.,1
511,N,096-676,Panolog Cream,Zoetis Inc.,4
886,N,141-064,Pulmotil 90,Elanco US Inc.,1
41,N,010-346,Combuthal Powder,Bimeda Animal Health Limited,2
505,N,096-506,Camvet Horse Wormer Pellets,Boehringer lngelheim Animal Health USA Inc.,1
277,N,044-654,Equizole Horse Wormer Pellets,Boehringer lngelheim Animal Health USA Inc.,1
808,N,140-851,NFZ Wound Dressing,Neogen Corp.,1
340,N,049-725,Anaprime Opthakote Ophthalmic,Zoetis Inc.,3
1230,A,200-088,Sedazine,Boehringer lngelheim Animal Health USA Inc.,1
1625,A,200-709,Amoxicillin and Clavulanate Potassium for Oral Suspension,Cronus Pharma Specialities India Private Limited,2
943,N,141-179,Avatec / BMD,Zoetis Inc.,2
997,N,141-251,Advantage Multi for Dogs,Elanco US Inc.,2
186,N,034-254,"MGA 100, MGA 200",Zoetis Inc.,1
797,N,140-810,DERMA-VET Ointment,Med-Pharmex Inc.,4
928,N,141-148,Deccox / Rumensin,Zoetis Inc.,2
1187,N,141-531,MGA and Bovatec and Aureomycin,Zoetis Inc.,3
744,N,137-687,Formalin-F,Natchez Animal Supply Co.,1
979,N,141-227,UlcerGard,Boehringer lngelheim Animal Health USA Inc.,1
571,N,103-953,Trivermicide Worm Capsules,Happy Jack Inc.,2
1246,A,200-126,Phenylbutazone 20% Injection,Elanco US Inc.,1
723,N,134-830,Albac / Coban,Zoetis Inc.,2
62,N,011-531,Dizan Tablets,Cronus Pharma Specialities India Private Limited,1
1056,N,141-334,Zuprevo,Intervet Inc.,1
